symbol,datetime,headline,source,summary,url
TSLA,2025-03-08 04:10:00,"'Magnificent 7' Q4 2024 Earnings Review: Growth Holds, But Rotation Awaits",SeekingAlpha,"Q4 delivered another strong quarter for both top- and bottom-line growth, and it appears that analysts have become more precise in forecasting revenue for the group.",https://finnhub.io/api/news?id=09591544b9b96a1e9933ba9a6dfd6c0267c48e04569afc51e168cfd11a676db5
TSLA,2025-03-07 20:31:13,Elon Musk's net worth drops $121 billion after Tesla shares fall,Finnhub,Copyright © BusinessAMBE 2023Key takeawaysElon Musk lost $8.8 billion in one day due to the decline in Tesla shares.Its net worth has fallen $121 billion since its December high to $342...,https://finnhub.io/api/news?id=92ee0221ee47ef10c31110aa1ff056792e40901352794fc7c9600a8f3b22c963
TSLA,2025-03-07 15:31:53,"Dow Jones Falls On Surprise Jobs Report, Powell Speech Next; Nvidia Partner Crashes On Earnings",DowJones,"Dow Jones Falls On Surprise Jobs Report, Powell Speech Next; Nvidia Partner Crashes On Earnings",https://finnhub.io/api/news?id=53f2da210f1e0e0e914fee64953c3c706502ec6378a74518d9ed6ca866c76e79
TSLA,2025-03-07 15:30:00,Cardano leads slumps as large cryptocurrencies start mixed,MarketWatch,Cardano leads slumps as large cryptocurrencies start mixed,https://finnhub.io/api/news?id=e740bae06236c69b71a4da44a6b2db2638ace4def9251393c60733284b6e182a
TSLA,2025-03-07 15:24:00,The Mag 7 Stocks Are No Longer Magnificent. Where the Charts Say They Go Next.,MarketWatch,The Mag 7 Stocks Are No Longer Magnificent. Where the Charts Say They Go Next.,https://finnhub.io/api/news?id=5ae41263a637baad947cd3202bf8556a13342a3b1ca11f67c78bd16bfd521844
TSLA,2025-03-07 15:22:00,Tesla Stock Gets Upgraded. It’s Edging Higher.,MarketWatch,Tesla Stock Gets Upgraded. It’s Edging Higher.,https://finnhub.io/api/news?id=63283e7d4c8a1c0b4536b0209ddbe3551f57fa4c75c494939362707b427c13a4
TSLA,2025-03-07 15:10:00,ClearBridge All Cap Growth Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge All Cap Growth Strategy underperformed its Russell 3000 Growth Index benchmark in the fourth quarter. Click here to read the full commentary. ,https://finnhub.io/api/news?id=81b2942b352a432f4c8934f624e12169c63abda471c2d5a524050f1bd70c8ce0
TSLA,2025-03-07 13:30:14,Elon Musk Misses Fat Target For Cost Cuts: His Own Company,DowJones,Elon Musk Misses Fat Target For Cost Cuts: His Own Company,https://finnhub.io/api/news?id=0a7e24b05fd913e4a2b52518c98c5015e8ae50ffc768894c18f9888405642280
TSLA,2025-03-07 13:30:01,Dow Jones Futures: Jobs Report Due As Trump Blames 'Globalists' For Market Dive; Broadcom Jumps,DowJones,Dow Jones Futures: Jobs Report Due As Trump Blames 'Globalists' For Market Dive; Broadcom Jumps,https://finnhub.io/api/news?id=8488a92366fcefdf69c59617dd9c35ec15ecdc8f05bc192010866307d4b12e1b
TSLA,2025-03-07 13:02:00,The biggest Tesla bull on Wall Street says the selloff over Musk’s politics is overdone,MarketWatch,The biggest Tesla bull on Wall Street says the selloff over Musk’s politics is overdone,https://finnhub.io/api/news?id=4d8cd882713e45daeed681f6c1800f1d0d20c6244cd1e67ee8d47d983dc6c518
