symbol,datetime,headline,source,summary,url
V,2025-03-07 16:50:00,ClearBridge Large Cap Value Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge Large Cap Value Strategy outperformed its Russell 1000 Value Index benchmark during the fourth quarter. Click here to read the full commentary.,https://finnhub.io/api/news?id=da24d378b82cffb6fdbce7e26c22aaa4e90bb3c44308696776b801d63a882a63
V,2025-03-07 15:30:00,ClearBridge Large Cap Value ESG Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge Large Cap Value ESG Strategy outperformed its Russell 1000 Value Index benchmark during the fourth quarter. Click here to read the full commentary.,https://finnhub.io/api/news?id=7e228e271dbbbed2936b7823e7f004835066d03686b38d9a2512caef77fed81c
V,2025-03-07 15:10:00,ClearBridge All Cap Growth Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge All Cap Growth Strategy underperformed its Russell 3000 Growth Index benchmark in the fourth quarter. Click here to read the full commentary. ,https://finnhub.io/api/news?id=81b2942b352a432f4c8934f624e12169c63abda471c2d5a524050f1bd70c8ce0
V,2025-03-07 02:54:00,Fidelity Magellan Fund Q4 2024 Review,SeekingAlpha,"For the final quarter of 2024, the fund gained 1.08%, trailing the 2.41% advance of the benchmark S&P 500Â® index. Read more here.",https://finnhub.io/api/news?id=8bff7b12d667384fef403a8b91541138f8785e23af01847cf6ae1f7cd941c6ca
V,2025-03-06 20:23:00,"NVIDIA Corp., Amazon.com Inc. share losses contribute to Dow's 365-point drop",MarketWatch,"NVIDIA Corp., Amazon.com Inc. share losses contribute to Dow's 365-point drop",https://finnhub.io/api/news?id=b82d365f3d83734b20102b9aef582a1efecec182adf0650a9383c05697aca0c6
V,2025-03-06 18:18:00,"NVIDIA Corp., Amazon.com Inc. share losses contribute to Dow's nearly 600-point fall",MarketWatch,"NVIDIA Corp., Amazon.com Inc. share losses contribute to Dow's nearly 600-point fall",https://finnhub.io/api/news?id=d420b926008d566dc420ced23703a55533c8a8c0bb0c621e530f7ba742e132ba
V,2025-03-06 17:17:00,"NVIDIA Corp., Amazon.com Inc. share losses lead Dow's 229-point drop",MarketWatch,"NVIDIA Corp., Amazon.com Inc. share losses lead Dow's 229-point drop",https://finnhub.io/api/news?id=fa2e72073862980ae019cb2f19eb22830f7f3cb799c0bdbe377e067725accd09
V,2025-03-06 16:16:00,"NVIDIA Corp., Amazon.com Inc. share losses lead Dow's 117-point fall",MarketWatch,"NVIDIA Corp., Amazon.com Inc. share losses lead Dow's 117-point fall",https://finnhub.io/api/news?id=ed1753ccf799d71717ec35107749bfbff2f160da03f025e41ce1dbc9e75812cf
V,2025-03-06 15:15:00,"Dow's nearly 550-point fall led by losses in shares of NVIDIA Corp., Goldman Sachs",MarketWatch,"Dow's nearly 550-point fall led by losses in shares of NVIDIA Corp., Goldman Sachs",https://finnhub.io/api/news?id=f7bc94f7e4dc24893f1484f59f703b844fecc577b77c888c50c8c015ed52ddbb
V,2025-03-05 13:02:49,Visa Vs. Mastercard: The Bargain Window Has Closed,SeekingAlpha,Visa and Mastercard are leading payment network providers with numerous services revolving around these networks. Explore why V and MA stocks have strong growth.,https://finnhub.io/api/news?id=a0a81579bc4e141e19795f5325879d74e9c509008fb5f3ebcb04ebb0ff3fccac
V,2025-03-05 10:15:41,Mastercard: A Core Holding For The Long Term,SeekingAlpha,"Mastercard offers a hedge against inflation, steady revenue growth, global expansion, and innovation, projecting up to 14.1% CAGR over 5 years. See more.",https://finnhub.io/api/news?id=4d8409abed640cd08570aa622ce9870b9fe4ab92b7a5e0e4131d0f4fd98c7392
V,2025-03-04 22:01:00,Visa Inc. Cl A stock outperforms competitors despite losses on the day,MarketWatch,Visa Inc. Cl A stock outperforms competitors despite losses on the day,https://finnhub.io/api/news?id=f318e47730f4ff36521e0089ca295ec001151ad16bad8cfcae951efc590075b4
V,2025-03-04 16:47:00,When Do You Sell A Winner? - January Dividend Income Report,SeekingAlpha,Starbucks reported better-than-expected results despite a double-digit declining EPS and flat revenue. Click to read.,https://finnhub.io/api/news?id=daa1ab421ce4c6b22f328d690d0e3f775de8c4ab55f31751658795acf56e9309
V,2025-03-04 12:36:12,SCHD Alternative Strategy - Running At An 18.81% CAGR,SeekingAlpha,"Maximize your investments with the 4-factor dividend growth portfolio, outperforming SPY and SCHD with an 18.81% CAGR. Explore more details here.",https://finnhub.io/api/news?id=2d3e3cebaeddbd1d331bb8ea238985d83236b7693a4b767ac90ea32f25d7cf8b
V,2025-03-04 06:12:53,Top 50 High-Quality Dividend Stocks For March 2025,SeekingAlpha,Read here for nine attractively valued dividend stocks with detailed analysis and unique valuations. Stay ahead in 2025's market with expert insights.,https://finnhub.io/api/news?id=f1fd84764364d70ffd5f4581ba18b970e5cd587e629c6b6f93842680c8e41c2b
V,2025-03-03 12:34:03,Visa Tap to Phone Adoption Soars: 200% Year-over-Year Growth Worldwide,Finnhub,"Visa’s fast-growing, contactless payment solution Tap to Phone helps SMBs get paid, with nearly 30% of sellers popping up as new small businesses...",https://finnhub.io/api/news?id=48bd3747a0402e96da6ed8896eb7f1588b6652999534ca7d85914706aad9f6b8
V,2025-03-01 13:30:00,"5 Relatively Secure And Cheap Dividend Stocks, Yields Upto 8% (March 2025)",SeekingAlpha,"Discover 5 large-cap, dividend-paying stocks trading at significant discounts. Explore conservative picks plus options with yields up to 8%.",https://finnhub.io/api/news?id=38ee0f05d7f7fed3a921c4ef3281abad97ff2574d8023c807f3c6cbec06f3df0
